,GEM,ecGEM,tcGEM,etcGEM
7.1,0.8311399410151739,0.5240173117210436,0.8210663345173242,0.5096777423489289
3.1,0.36289208692256675,0.36289208692242375,0.35849375169108566,0.35849375169096864
4.1,0.4799540504457179,0.4799540504455758,0.4741368973976438,0.47413689739753434
5.1,0.5970160139688694,0.524017311721061,0.5897800431042003,0.5096777423489316
9.1,1.0652638680614765,0.5240173117210436,1.0523526259304434,0.5096910386515723
8.1,0.9482019045383252,0.5240173117210436,0.936709480223885,0.5096910386515748
6.1,0.7140779774920225,0.5240173117210557,0.7054231888107657,0.5096777423489289
2.1,0.24583012339941715,0.24583012339927146,0.2428506059845305,0.24285060598440908
1.1,0.12876815987626403,0.12876815987611903,0.12720746027797059,0.12720746027785676
0.1,0.011706196353112427,0.011706417052865582,0.01156431457141083,0.011564540952160788
10.1,1.1823258315846266,0.5240173117210436,1.167995771637003,0.5096910386515785
13.1,1.5335117221540806,0.5240173117210436,1.5149252087566787,0.5096910386515726
14.1,1.6505736856772362,0.5240173117210445,1.6305683544632386,0.509677742348926
12.1,1.4164497586309293,0.5240173117210436,1.3992820630501221,0.5096777423489302
11.1,1.2993877951077815,0.5240173117210436,1.2836389173435634,0.5096777423489316
