reaction,experiment,Combine,AutoPACMEN,DLKcat,TurNuP,UniKP,iCW773
GLCptspp,1.0,1.0,0.9951880272864057,0.9946929502444076,0.9947739759080596,0.9951053463534384,0.9944124259954426
PGI,0.108,0.46389844721506185,0.7123704678892852,0.9831170234036543,0.0,0.7794022430240496,0.8046092598841103
G6PDH2r,0.885,0.5187913399118376,0.2723215123168103,0.0,2.2562119952154798,0.20502670963933628,0.17761534974006774
PGL,0.885,0.5187913399118376,0.2723215123168103,0.0,2.2562119952154798,0.20502670963933628,0.17761534974006774
GND,0.885,0.5187913399118376,0.2723215123168103,0.0,2.2562119952154798,0.20502670963933628,0.17761534974006774
TKT1,0.291,0.14120644575292152,0.06271920650875654,0.0,0.7216020431867771,0.039805561515489876,0.026628596341040704
TALA,0.27,0.14120644575292152,0.06271920650875654,0.0,0.7216020431867771,0.039805561515489876,0.026628596341040704
TKT2,0.291,0.12720547559895065,0.05033766447793429,0.0,0.7081551180274372,0.027211275666725807,0.012251377992970533
PFK,0.662,0.7159863227792305,0.8109914207352417,0.8916584333228488,0.14124187886734677,0.8317351192666295,0.826726512204449
TPI,0.662,0.7082012917380965,0.8041068485958086,0.8840655459428478,0.13376491629817971,0.8247322540940786,0.8187322739556762
GAPD_num1,1.534,1.5529291221269363,1.6667943000287158,1.7326256748780038,0.9846371614980836,1.6850603551522878,0.0
PGK,1.534,1.5529291221269363,1.6667943000287158,1.7326256748780038,0.9846371614980836,1.6850603551522878,1.6592874739655288
PGM_num1,1.534,1.4741941282440747,1.5971662224500216,1.655833952628107,0.9090178609409738,1.6142359045354064,1.578436633899988
ENO,1.534,1.4741941282440747,1.5971662224500216,1.655833952628107,0.9090178609409738,1.6142359045354064,1.578436633899988
PPC,0.203,0.0,0.0,0.0,0.0,0.5527552236095254,0.5440946231992901
PDH,1.088,1.288955215588941,1.2754326708236852,1.300999029790504,0.41627319978312505,0.0,1.2048455650259855
CS_num1,0.75,0.6240861072110254,0.3779899220802392,0.8267075907120142,0.09255022973586274,0.849538651313609,0.0
ACONTa,0.75,0.6240861072110254,0.3779899220802392,0.8267075907120142,0.09255022973586274,0.849538651313609,0.70548365254578
ACONTb,0.75,0.6240861072110254,0.3779899220802392,0.8267075907120142,0.09255022973586274,0.849538651313609,0.70548365254578
ICDHyr,0.75,0.4455107354550831,0.3779899220802392,0.8267075907120142,0.09255022973586274,0.849538651313609,0.70548365254578
AKGDH,0.655,0.36570798879578387,0.307417593800725,0.487350198378283,0.01590542940872335,0.7777537255629309,0.6235363659741088
SUCOAS,0.655,0.33423817959813806,0.2887422361370386,0.45665710083670913,0.0,0.7587574816251462,0.6235226932489146
SUCDi,0.655,0.544578709262435,0.32183952621439016,0.7491625282311587,0.016189090609706802,0.7780194004445149,4.547440900931464
FUM,0.655,0.5774047374264392,0.3550169381749675,0.7811783716699366,3.317765471015235,0.8168591597057374,0.6681778305252893
MDH,0.655,0.7559801091823815,0.3550169381749675,0.7811783716699366,3.317765471015235,0.8168591597057374,0.6681778305252893
