reaction,experiment,GEM,ecGEM,tcGEM,etcGEM
GLCptspp,1.0,0.9944124259954426,1.0,0.9944801486724736,1.0
PGI,0.108,0.8046092598841103,0.44243556228160524,0.8215217153365096,0.46376947752509035
G6PDH2r,0.885,0.17761534974006774,0.5400402240534189,0.16091833609135847,0.5189190236788837
PGL,0.885,0.17761534974006774,0.5400402240534189,0.16091833609135847,0.5189190236788837
GND,0.885,0.17761534974006774,0.5400402240534189,0.16091833609135847,0.5189190236788837
TKT1,0.291,0.026628596341040704,0.14789721315177032,0.021457760013442,0.14124665032932263
TALA,0.27,0.026628596341040704,0.14789721315177032,0.021457760013442,0.14124665032932263
TKT2,0.291,0.012251377992970533,0.1337231533470849,0.007254796845623778,0.1272446400859761
PFK,0.662,0.826726512204449,0.7075300738786351,0.8336747182130448,0.7159355094891054
TPI,0.662,0.8187322739556762,0.6996487989138166,0.8257773719633507,0.7081499001217566
GAPD_num1,1.534,0.0,1.5424570476374455,1.6682650794781202,1.5528661958146308
PGK,1.534,1.6592874739655288,1.5424570476374455,1.6682650794781202,1.5528661958146308
PGM_num1,1.534,1.578436633899988,1.462748677449932,1.5883941701169468,1.4741253529491822
ENO,1.534,1.578436633899988,1.462748677449932,1.5883941701169468,1.4741253529491822
PPC,0.203,0.5440946231992901,0.0,0.17065051323311106,0.0
PDH,1.088,1.2048455650259855,1.275219713581402,1.2193311105870763,1.2888726794601284
CS_num1,0.75,0.0,0.6021310346685367,0.7260215788886827,0.6239541799837245
ACONTa,0.75,0.70548365254578,0.6021310346685367,0.7260215788886827,0.6239541799837245
ACONTb,0.75,0.70548365254578,0.6021310346685367,0.7260215788886827,0.6239541799837245
ICDHyr,0.75,0.70548365254578,0.42134799098821274,0.7260215788886827,0.4453655424079949
AKGDH,0.655,0.6235363659741088,0.34055866772792026,0.645067512204177,0.3655568674460114
SUCOAS,0.655,0.6235226932489146,0.3254518337593057,0.6236448641703046,0.3340847204522105
SUCDi,0.655,4.547440900931464,0.5216407114234421,0.6616110230504747,0.544440875673005
FUM,0.655,0.6681778305252893,0.5548725575906335,0.6891679119775835,0.5772693423825364
MDH,0.655,0.6681778305252893,0.7356556012709574,0.6891679119775835,0.7558579799582659
